[06-08 13:35:08]create bugbear74  pos = 347965 72432, angle = 145, rTime = 10800
[06-12 06:42:51]create bugbear689  pos = 12490 29766, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 12316 29886, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 12488 30176, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 7406 9416, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 10688 29446, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 11239 28556, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 11208 28843, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 10464 27320, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 10385 26961, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 10869 27449, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 11128 27269, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 10866 27017, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 10558 26719, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear712  pos = 11078 26711, angle = 145, rTime = 10800
[06-12 06:42:51]create bugbear686  pos = 9480 26760, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 9122 26796, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 9362 26504, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 7509 9960, angle = 10, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8425 25791, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8094 27546, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 7730 27639, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 6916 28435, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 7161 28248, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 7187 28662, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 8131 29159, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 8091 29593, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 8717 29791, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 8312 10936, angle = 280, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 9425 30629, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 9413 30276, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 9973 30188, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 8021 24967, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8385 23152, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 7828 24232, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 8440 24543, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8355 22865, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8673 22952, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 9156 22219, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 9405 22114, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 16822 22635, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 16680 23052, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 17844 21494, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 17986 21786, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 18610 20899, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 18537 21162, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 18930 21457, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 19033 21058, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 20143 22388, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 21261 24106, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 21886 24670, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 20253 22794, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 20550 22504, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 21369 24512, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 20674 24445, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8362 11352, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 8663 11055, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 21590 25259, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 20963 25010, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 23070 25324, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 24418 25379, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 25203 24797, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 24611 24015, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 24683 23619, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 23542 22770, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 23256 22406, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 23902 22513, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 23794 21430, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 23936 21024, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 24225 21287, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 24785 20421, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 24829 20133, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 25107 20365, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 25782 20352, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 25742 20001, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 27140 21392, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 26817 21525, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 28222 21913, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 27782 22010, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 27786 22383, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear13  pos = 30647 13378, angle = 10, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 29146 21037, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 30158 19951, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 29883 19393, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 30377 19510, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 29085 20209, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 28915 19788, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 28628 20013, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 9231 13346, angle = 115, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 10819 12254, angle = 10, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 27020 18365, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 26524 17408, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 10346 12445, angle = 10, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 24528 16284, angle = 40, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 24564 16608, angle = 40, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 24193 16302, angle = 40, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 23851 16413, angle = 25, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 24200 16697, angle = 25, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 24489 16956, angle = 25, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 25942 15368, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 26038 15741, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 27932 14938, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 27739 14880, angle = 265, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 27542 15145, angle = 265, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 28015 15233, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 27907 14551, angle = -365, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 27978 13985, angle = 70, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 28532 15059, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 26909 15058, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 26917 14589, angle = 265, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 29057 18438, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 29421 18553, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 29870 17170, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 29984 16791, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 30209 16967, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 29575 16324, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 29613 15983, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 29055 12661, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 29768 12991, angle = 250, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 29559 12432, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 30524 12423, angle = 175, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 30295 12084, angle = 175, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 30693 12067, angle = 175, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 30460 11834, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear712  pos = 23945 16908, angle = 40, rTime = 10800
[06-12 06:42:51]create bugbear688  pos = 29160 10743, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 29081 10142, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 28118 9495, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 27764 9914, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 26474 11094, angle = 355, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 26062 10677, angle = 175, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 26497 10644, angle = 190, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 26929 10728, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 26231 9464, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 25796 9851, angle = 25, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 26242 9923, angle = 355, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 26704 9796, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 24475 11044, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 25865 13638, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 25287 12825, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 25365 13291, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 24264 11975, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 23980 11561, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 23123 12560, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 23109 12202, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 22182 11342, angle = 150, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 21674 11255, angle = 150, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 21104 10452, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 20590 10173, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 19409 9540, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 19205 10025, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 19163 9711, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 24492 9164, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 23962 8540, angle = 115, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 23953 8792, angle = 115, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 23165 7894, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 22899 8055, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 21891 9094, angle = 30, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 21507 9066, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 21695 9424, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 20809 9984, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 19943 7636, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 19693 7819, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 19270 8504, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 18970 8467, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 17974 9259, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 17531 8462, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 17249 8677, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 16543 7825, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 16645 7445, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 15155 7894, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 15087 8188, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 14864 7937, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14316 9044, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13679 8186, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13174 9137, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13769 9619, angle = 70, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14149 8793, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 12295 8343, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 13064 7578, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 12056 8326, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 12274 8083, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 12815 7456, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 13043 7270, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 9858 8762, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 10458 8751, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 10686 8933, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 10786 9504, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 10193 9312, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 12142 10918, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 11784 10856, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 12177 11226, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13477 12554, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13128 12849, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13827 12257, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 13126 12275, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 13364 12009, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 8390 8000, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear690  pos = 15333 13602, angle = 325, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 14562 12843, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 14662 13245, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 14996 12946, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14542 17011, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14567 16728, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14861 17005, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear691  pos = 15389 16140, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 14636 13800, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 15529 12899, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 14641 16175, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 15380 16895, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear693  pos = 17656 13901, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 18766 12800, angle = 70, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 18411 12929, angle = 70, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 18659 13158, angle = 70, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 17771 13046, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 18671 13867, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear692  pos = 17797 16241, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 18819 17319, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 18383 17121, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 18719 16918, angle = 145, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 17781 16997, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 18530 16253, angle = 130, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 15338 15751, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 15742 16156, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 17417 16251, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 17804 15971, angle = 100, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 17688 14285, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear689  pos = 17229 13860, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 15332 14004, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear686  pos = 15774 13571, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear712  pos = 16607 18226, angle = 355, rTime = 10800
[06-12 06:42:51]create bugbear712  pos = 19823 14926, angle = 220, rTime = 10800
[06-12 06:42:51]create bugbear687  pos = 19111 14968, angle = 250, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 19265 15202, angle = 250, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 19208 14685, angle = 250, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 19469 14920, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 16351 17469, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 16272 17803, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 16510 17944, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 16773 17878, angle = 355, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 11175 14778, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 11025 15178, angle = 55, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 11758 15486, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 11232 15541, angle = 10, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 12185 16443, angle = 10, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 13089 16762, angle = 340, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14197 18353, angle = 355, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 14993 18751, angle = 355, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 15635 19978, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 16300 19814, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 16965 20131, angle = 280, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 17615 19593, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 17951 19492, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 18682 18499, angle = 205, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 20207 16969, angle = 40, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 20070 17330, angle = 40, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 22313 14865, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 22025 14302, angle = 265, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 21919 14640, angle = 265, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 21124 13939, angle = 310, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 20337 12986, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 19666 11890, angle = 295, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 18749 11612, angle = 355, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 16517 9180, angle = 250, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 16233 9527, angle = 220, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 15399 10343, angle = 190, rTime = 3600
[06-12 06:42:51]create bugbear688  pos = 14811 10806, angle = 190, rTime = 3600
[06-12 06:42:51]create bugbear687  pos = 12159 13956, angle = 85, rTime = 3600
[06-12 06:42:51]create bugbear913  pos = 34454 31127, angle = 190, rTime = 60
[06-12 06:42:51]create bugbear921  pos = 30945 33949, angle = 190, rTime = 60
[06-12 06:42:51]create bugbear921  pos = 23910 33629, angle = 145, rTime = 60
[06-12 06:42:51]create bugbear921  pos = 11704 35560, angle = 205, rTime = 60
[06-12 06:42:51]create bugbear913  pos = 8367 34548, angle = 205, rTime = 60
[06-12 06:42:51]create bugbear913  pos = 2681 35418, angle = 220, rTime = 60
[06-12 06:42:51]create bugbear901  pos = 26505 10977, angle = 175, rTime = 60
[06-12 06:42:51]create bugbear901  pos = 23184 12332, angle = 145, rTime = 60
[06-12 06:42:51]create bugbear901  pos = 14397 8407, angle = 145, rTime = 60
[06-12 06:42:51]create bugbear901  pos = 9524 13797, angle = 145, rTime = 60
[06-12 06:42:51]create bugbear901  pos = 6927 9611, angle = 145, rTime = 60
[06-12 06:42:51]create bugbear891  pos = 7924 7567, angle = 160, rTime = 60
[06-12 06:42:51]create bugbear891  pos = 13818 12193, angle = 145, rTime = 60
[06-12 06:42:51]create bugbear891  pos = 17941 16392, angle = 205, rTime = 60
[06-12 06:42:51]create bugbear913  pos = 23428 34766, angle = 145, rTime = 60
[06-12 06:42:52]create bugbear713  pos = 23218 2837, angle = 145, rTime = 10800
[06-12 06:42:52]create bugbear722  pos = 23185 3116, angle = 160, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 22886 3307, angle = 160, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 23510 3402, angle = 160, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 22733 2927, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 23784 3005, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear713  pos = 46531 25222, angle = 145, rTime = 10800
[06-12 06:42:52]create bugbear722  pos = 46330 25229, angle = 250, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 46071 24924, angle = 280, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 46036 25507, angle = 265, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 46585 25760, angle = 295, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 46596 24736, angle = 295, rTime = 150
[06-12 06:42:52]create bugbear713  pos = 2519 25528, angle = 145, rTime = 10800
[06-12 06:42:52]create bugbear722  pos = 2770 25575, angle = 115, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 3259 25812, angle = 130, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 3404 25191, angle = 130, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 2864 26024, angle = 100, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 3030 25270, angle = 100, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 3779 3805, angle = 10, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 4014 4271, angle = 310, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 3840 5336, angle = 10, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 3519 5530, angle = 355, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 5387 6681, angle = 310, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 4636 6874, angle = 280, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 6828 7191, angle = 310, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 7141 7477, angle = 295, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 7307 8208, angle = 10, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 7050 8488, angle = 355, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 6455 9158, angle = 25, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 6192 9143, angle = 25, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 6989 10103, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 7141 10424, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear722  pos = 8574 11067, angle = 205, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 8320 11163, angle = 205, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 8500 10747, angle = 205, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 8932 11277, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 8322 12211, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 8488 12485, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 7075 13855, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 7247 14183, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 6986 14789, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 7280 15037, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 8692 16449, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 8823 16121, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 7812 15869, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 10222 16609, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 10732 16821, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear720  pos = 10845 17356, angle = 145, rTime = 150
[06-12 06:42:52]create bugbear722  pos = 11353 18046, angle = 175, rTime = 150
[06-12 06:42:52]create bugbear722  pos = 11557 17895, angle = 175, rTime = 150
[06-12 06:42:52]create bugbear721  pos = 12026 17698, angle = 145, rTime = 150
